registro_id,data_coleta,cidade,uf,regiao,latitude,longitude,fonte_dado,tipo_cobertura_solo,cultura,area_monitorada_ha,ndvi_anterior,ndvi_atual,umidade_solo_pct,temperatura_superficie_c,dias_sem_chuva,focos_calor_7d,risco_incendio_pct,classe_risco_incendio,producao_historica_t_ha,densidade_construcoes,expansao_urbana_ha,risco_desmatamento_pct,status_processamento,observacao
ORB-00001,2025-07-14,Palmas,TO,Norte,-10.12,-48.40,sensor_landsat,vegetacao_nativa,nao_aplicavel,53.34,0.65,0.57,60.36,28.84,22,11,76.64,critico,0.00,0.09,0.00,34.59,processado,
ORB-00002,2025-10-11,Goiânia,GO,Centro-Oeste,-16.76,-48.95,base_municipal,agric.,soja,105.74,0.47,0.46,8.54,,8,,69.97,alto,3.20,"0,06",0.00,21.22,processado,possivel queimadura
ORB-00003,01-17-2025,Porto Velho,RO,Norte,-8.43,-63.59,sensor_sentinel,urbano,nao_aplicavel,270.70,0.27,0.29,60.72,"31,59",5,9,48.93,médio,0.00,0.58,"2,74",0.00,processado,possivel queimadura
ORB-00004,2025-10-26,Ribeirão Preto,SP,Sudeste,-21.43,"-47,97",sensor_landsat,pastagem,pastagem,198.59,0.49,0.50,21.67,25.51,4,7,61.22,alto,1.33,0.13,0.00,"17,05",processado,sombra parcial
ORB-00005,2025-02-22,Palmas,TO,Norte,-10.43,-48.43,sensor_sentinel,vegetacao_nativa,nao_aplicavel,504.22,0.87,"0,61",50.35,29.01,22,0,"69,44",alto,0.00,"0,04",0.00,66.54,processado,
ORB-00006,2025-06-01,Goiânia,GO,Centro-Oeste,-16.72,-48.99,sensor_sentinel,vegetacao_nativa,nao_aplicavel,81.41,0.85,0.83,29.70,37.26,9,6,73.91,alto,0.00,0.04,0.00,14.95,processado,sombra parcial
ORB-00007,2025-05-07,Ribeirão Preto,SP,Sudeste,-21.50,-48.00,sensor_sentinel,urbano,nao_aplicavel,299.47,"0,21",0.24,NA,31.01,22,11,100.00,critico,0.00,0.84,6.49,4.15,processado,coordenada imprecisa
ORB-00008,2025-01-21,PETROLINA,PE,Nordeste,-9.28,-40.48,sensor_sentinel,agricultura,soja,55.86,0.55,0.67,37.09,32.64,25,2,64.76,alto,4.83,0.19,0.00,0.00,reprocessar,nuvem na cena
ORB-00009,2025-05-13,Marabá,pa,Norte,-5.31,-48.89,sensor_sentinel,urbano,nao_aplicavel,86.47,0.22,0.25,70.67,33.33,7,10,49.42,medio,0.00,0.85,10.37,,processado,
ORB-00010,2025-03-02,Sorriso,MT,Centro-Oeste,-12.79,-55.97,sensor_sentinel,vegetacao_nativa,nao_aplicavel,182.04,0.87,0.80,"23,53",32.56,19,15,100.00,critico,0.00,0.02,0.00,33.90,reprocessar,sombra parcial
ORB-00011,2025-10-27,Sinop,MT,Centro-Oeste,-11.75,-55.26,drone_cliente,agricultura,milho,231.91,0.39,NA,"32,67",33.89,24,0,84.29,critico,4.46,0.19,,50.01,processado,
ORB-00012,2025-10-24,Uberaba,MG,Sudeste,-19.71,-48.04,sensor_landsat,pastagem,pastagem,1.00,0.55,0.44,20.59,29.34,11,0,62.18,alto,1.24,0.14,0.00,23.67,pendente,registro importado manualmente
ORB-00013,03-31-2025,Altamira,PA,Norte,-3.17,-52.28,sensor_landsat,agricultura,soja,116.85,0.46,0.25,45.74,36.81,,0,NA,medio,2.45,0.10,0.00,30.65,processado,
ORB-00014,2025-02-28,Altamira,PA,Norte,-3.16,-52.06,sensor_landsat,agricultura,soja,361.33,0.56,0.56,69.29,34.59,14,5,"46,50",medio,3.72,0.20,0.00,0.00,processado,
ORB-00015,2025-06-20,Porto Velho,RO,Norte,-8.44,"-64,06",base_municipal,agricultura,soja,224.45,"0,56",,41.64,31.26,18,9,72.75,alto,"3,33",0.20,"0,00",14.09,processado,
ORB-00016,2025-08-01,Sinop,MT,Centro-Oeste,-12.17,-55.82,sensor_sentinel,agricultura,soja,57.07,0.48,0.50,14.46,34.94,43,3,100.00,critico,3.55,0.16,0.00,4.83,processado,nuvem na cena
ORB-00017,2025-08-15,Altamira,PA,Norte,-3.28,-52.38,sensor_landsat,vegetacao_nativa,nao_aplicavel,69.87,0.79,0.78,75.12,32.77,2,2,50.04,alto,0.00,0.02,0.00,34.35,processado,
ORB-00018,2025-08-18,Cuiabá,MT,Centro-Oeste,-15.63,-56.15,sensor_landsat,vegetacao_nativa,nao_aplicavel,"149,92",0.71,0.69,50.35,38.15,9,7,57.38,alto,0.00,"0,09",0.00,16.92,pendente,nuvem na cena
ORB-00019,2025-10-14,Cuiabá,MT,Centro-Oeste,-15.50,-56.35,sensor_landsat,agricultura,soja,30.37,"0,50",0.49,"58,93",33.48,17,13,76.16,critico,4.60,0.15,0.00,0.00,processado,
ORB-00020,data_invalida,Porto Velho,ro,Norte,-8.66,-63.86,sensor_sentinel,agricultura,cana,131.25,0.72,0.68,,31.77,15,3,62.43,alto,85.17,0.11,NA,0.00,pendente,registro importado manualmente
ORB-00021,2026-01-12,Cuiabá,MT,Centro-Oeste,-15.74,-56.14,sensor_landsat,agricultura,soja,290.46,0.81,0.59,42.76,34.73,0,3,35.62,medio,3.32,0.20,0.00,37.24,pendente,nuvem na cena
ORB-00022,02-04-2025,Uberaba,MG,Sudeste,-19.66,-48.05,sensor_landsat,agricultura,soja,205.79,0.67,0.58,48.22,25.38,3,25,64.53,alto,"3,72",0.06,0.00,34.23,processado,
ORB-00023,28/10/2025,Uberlândia,MG,Sudeste,-19.01,-48.28,sensor_landsat,vegetacao_nativa,nao_aplicavel,30.22,0.77,0.34,35.40,25.59,0,2,41.55,medio,0.00,0.04,0.00,87.15,processado,
ORB-00024,2025-10-23,Marabá,PA,Norte,-5.39,-49.12,drone_cliente,vegetacao_nativa,nao_aplicavel,723.44,"0,78",0.19,"73,18",36.78,15,5,59.60,alto,0.00,0.02,0.00,"100,00",pendente,nuvem na cena
